"";"df..reverse.postcode.";"df$number"
"319";"69003";3007
"320";"69003";3006
"321";"69006";6007
"322";"69001";1037
"323";"69009";9051
"324";"69007";7012
"325";"69007";7049
"326";"69006";6005
"327";"69100";10102
"328";"69006";6023
"329";"69007";7034
"330";"69001";1020
"331";"69100";10064
"332";"69008";8050
"333";"69100";10015
"334";"69007";7010
"335";"69150";3033
"336";"69140";30001
"337";"69200";8020
"338";"69100";10101
"339";"69300";11001
"340";"69007";7022
"341";"69003";3102
"342";"69200";16004
"343";"69100";10088
"344";"69007";7020
"345";"69100";10031
"346";"69009";5054
"347";"69007";7025
"348";"69300";4011
"349";"69001";1002
"350";"69002";2042
"351";"69200";16003
"352";"69009";9032
"353";"69800";14005
"354";"69300";11002
"355";"69003";3003
"356";"69009";9002
"357";"69100";10116
"358";"69100";10010
"359";"69100";10039
"360";"69006";6006
"361";"69120";12005
"362";"69100";10002
"363";"69007";7016
"364";"69005";5008
"365";"69660";27001
"366";"69250";34002
"367";"69120";12004
"368";"69100";10054
"369";"69001";1021
"370";"69002";2007
"371";"69008";8004
"372";"69003";3044
"373";"69250";33001
"374";"69200";16005
"375";"69100";10019
"376";"69100";10025
"377";"69008";8034
"378";"69003";3084
"379";"69005";5026
"380";"69003";3038
"381";"69300";11005
"382";"69003";3019
"383";"69003";3079
"384";"69002";2025
"385";"69007";7004
"386";"69005";5031
"387";"69002";2039
"388";"69120";12003
"389";"69450";25001
"390";"69005";5041
"391";"69005";5009
"392";"69003";3034
"393";"69008";8030
"394";"69005";5036
"395";"69008";8003
"396";"69003";3100
"397";"69270";28002
"398";"69100";10027
"399";"69002";1012
"400";"69100";10036
"401";"69002";2018
"402";"69002";2030
"403";"69200";8051
"404";"69007";7057
"405";"69190";17001
"406";"69007";7052
"407";"69007";7001
"408";"69006";6036
"409";"69007";7005
"410";"69003";8052
"411";"69006";6011
"412";"69007";7061
"413";"69100";10013
"414";"69002";2005
"415";"69001";1032
"416";"69005";5030
"417";"69008";8039
"418";"69007";7062
"419";"69002";2002
"420";"69003";3087
"421";"69009";9004
"422";"69008";8002
"423";"69100";10007
"424";"69009";9033
"425";"69005";5001
"426";"69003";3018
